il,ilce,okul_adi,kurum_kodu,okul_turu,web_sitesi,adres,telefon,harita,cekim_tarihi
Adana,Aladağ,Akören Ortaokulu,428569,Ortaokul,https://aladagakorenortaokulu.meb.k12.tr,,,https://aladagakorenortaokulu.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Akören Çok Programlı Anadolu Lisesi,112770,Çok Programlı Anadolu Lisesi,https://aladagakorencokprogramlilisesi.meb.k12.tr,,,https://aladagakorencokprogramlilisesi.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Akören İlkokulu,337302,İlkokul,https://aladagakorenilkokulu.meb.k12.tr,,,https://aladagakorenilkokulu.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Aladağ Halk Eğitimi Merkezi,214088,Halk Eğitimi Merkezi,https://aladaghem.meb.k12.tr,,,https://aladaghem.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Aladağ Sinanpaşa Anadolu İmam Hatip Lisesi,751929,Anadolu İmam Hatip Lisesi,https://sinanpasaaihl.meb.k12.tr,,,https://sinanpasaaihl.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Aladağ Öğretmenevi ve Akşam Sanat Okulu,749924,Öğretmenevi,https://aladagogretmenevi.meb.k12.tr,,,https://aladagogretmenevi.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Aladağ İmam Hatip Ortaokulu,721527,İmam Hatip Ortaokulu,https://aladagimamhatiportaokulu.meb.k12.tr,,,https://aladagimamhatiportaokulu.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Atatürk Ortaokulu,428449,Ortaokul,https://aladagataturkoo.meb.k12.tr,,,https://aladagataturkoo.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Atatürk İlkokulu,428545,İlkokul,https://aladagataio.meb.k12.tr,,,https://aladagataio.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Boztahta Şehit Serdar Yıldırım Ortaokulu,428425,Ortaokul,https://aladagsehitserdaryildirimoo.meb.k12.tr,,,https://aladagsehitserdaryildirimoo.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Boztahta Şehit Serdar Yıldırım İlkokulu,428570,İlkokul,https://aladagsehitserdaryildirimio.meb.k12.tr,,,https://aladagsehitserdaryildirimio.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Büyüksofulu İmam Hatip Ortaokulu,764143,İmam Hatip Ortaokulu,https://sofuluimamhatip.meb.k12.tr,,,https://sofuluimamhatip.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Büyüksofulu Şehit Ziya Şahin İlkokulu,375149,İlkokul,https://sofuluilkokulu.meb.k12.tr,,,https://sofuluilkokulu.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Ceritler Necati Özsırkıntı İlkokulu,428594,İlkokul,https://cnozsrknt.meb.k12.tr,,,https://cnozsrknt.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Darılık İlkokulu,774713,İlkokul,https://774713.meb.k12.tr,,,https://774713.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Dölekli Ortaokulu,746104,Ortaokul,https://dolekliortaokulu.meb.k12.tr,,,https://dolekliortaokulu.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Dölekli İlkokulu,746105,İlkokul,https://dolekliilkokulu.meb.k12.tr,,,https://dolekliilkokulu.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Gerdibi Ortaokulu,428498,Ortaokul,https://gerdibiortaokulu01.meb.k12.tr,,,https://gerdibiortaokulu01.meb.k12.tr/tema/harita.php,2026-08-31
Adana,Aladağ,Gerdibi Sivişli İlkokulu,428450,İlkokul,https://gerdibisivisli.meb.k12.tr,,,https://gerdibisivisli.meb.k12.tr/tema/harita.php,2026-08-31
